training/actor_loss,training/bc_loss,training/critic_loss,training/grad/max,training/grad/min,training/grad/norm,training/q,training/q_max,training/q_mean,training/q_min,training/q_pe_max,training/q_pe_mean,training/q_pe_min,training/total_loss,time/epoch_time,time/total_time,step
48.76826,0.55875105,0.1427067,0.40441447,-0.33802196,5.383476,-48.762604,-27.124214,-48.762604,-49.483173,-40.662086,-48.76826,-49.41009,49.078594,0.011504450845718384,115.04453110694885,10000
84.89635,0.49737445,13.14034,2.1604085,-1.3773714,44.134254,-84.92791,-8.949222,-84.92791,-86.69174,-13.864888,-84.89635,-86.571915,98.185905,0.011440172886848449,229.4462742805481,20000
111.15765,0.48314726,4.3381395,6.144257,-2.8255725,71.872894,-111.18569,-7.0841336,-111.18569,-115.59851,-8.65177,-111.15765,-115.45159,115.64074,0.011438073587417602,343.82701897621155,30000
130.17966,0.49557632,0.7583458,0.63159233,-0.53371835,15.834789,-130.2318,-10.046707,-130.2318,-137.43468,-12.881027,-130.17966,-137.2624,131.08667,0.01143426697254181,458.169695854187,40000
146.507,0.4406296,0.3410709,0.4103769,-0.53513217,10.594765,-146.5203,-3.8958418,-146.5203,-153.24663,-9.924442,-146.507,-153.00912,146.98026,0.011441009044647217,572.5797967910767,50000
158.4083,0.48207447,0.5264021,0.7897183,-0.87076366,14.676373,-158.42224,-23.14089,-158.42224,-166.28824,-26.095728,-158.4083,-166.09798,159.07932,0.011440533995628357,686.9851453304291,60000
165.41467,0.43260947,2.1431477,7.090004,-7.4740615,93.2395,-165.4815,-10.152778,-165.4815,-176.19862,-13.121388,-165.41467,-176.02829,167.68759,0.011433789372444153,801.3230485916138,70000
168.41092,0.47006753,1.0038645,0.4044458,-0.463101,14.452442,-168.49449,-38.409775,-168.49449,-182.84059,-41.49511,-168.41092,-182.37755,169.5558,0.008258241248130798,883.9054708480835,80000
158.74783,0.48232493,1.0949234,0.6125445,-0.50987965,16.227295,-158.89792,-2.5978262,-158.89792,-186.31493,-4.2036157,-158.74783,-185.89178,159.98746,0.008225608444213868,966.1615633964539,90000
155.35075,0.428268,0.66015357,0.96999377,-0.99332225,17.590899,-155.42313,-5.223883,-155.42313,-179.21841,-7.2906823,-155.35075,-178.69774,156.13939,0.009738973212242126,1063.5513093471527,100000
156.19327,0.45871896,0.8059471,0.5924852,-0.52066594,16.351648,-156.25967,-1.8228648,-156.25967,-175.29495,-2.838259,-156.19327,-175.18874,157.13684,0.0107811039686203,1171.3623552322388,110000
157.19687,0.44957334,0.72474957,0.16822514,-0.22806655,8.988363,-157.32593,-15.521004,-157.32593,-178.8522,-19.985752,-157.19687,-178.69646,158.05649,0.011446741604804992,1285.8297817707062,120000
153.43103,0.4006281,0.19603108,0.07876811,-0.09470221,4.41356,-153.49893,-60.715847,-153.49893,-180.75153,-62.870277,-153.43103,-180.59468,153.74725,0.0114408282995224,1400.2380738258362,130000
154.57883,0.48082235,0.45971632,0.18188043,-0.16195369,7.2985926,-154.63177,-5.809478,-154.63177,-183.02756,-7.021895,-154.57883,-182.84642,155.18279,0.011443323707580567,1514.6713192462921,140000
160.62271,0.44296947,0.32061416,0.14753656,-0.21968794,5.15725,-160.67123,-4.53575,-160.67123,-182.69019,-7.8656373,-160.62271,-182.43394,161.07622,0.011440456366539002,1629.0758895874023,150000
165.24142,0.43007687,0.22451954,0.13979523,-0.14044926,6.5202794,-165.29358,-30.502777,-165.29358,-184.01422,-31.55014,-165.24142,-183.84377,165.59497,0.011458523917198182,1743.661139011383,160000
162.37025,0.41329193,0.22722058,0.08767603,-0.06573552,4.5576324,-162.42021,-12.781669,-162.42021,-183.70605,-13.357654,-162.37025,-183.63528,162.72147,0.011475573086738586,1858.4168810844421,170000
162.59286,0.43113002,0.3436821,0.18961719,-0.19515942,6.675676,-162.66873,-3.3581197,-162.66873,-186.7828,-3.3961942,-162.59286,-186.73254,163.06589,0.011444778656959533,1972.8646805286407,180000
